City,State,total_business
EAST BALDWIN,ME,68
LEBANON,ME,965
EAST PARSONSFIELD,ME,48
SEBAGO,ME,749
EAST WATERBORO,ME,18
FREEPORT,ME,342
FRYEBURG,ME,352
GORHAM,ME,935
GRAY,ME,164
HARRISON,ME,288
HIRAM,ME,527
HOLLIS CENTER,ME,137
KENNEBUNK,ME,1905
KENNEBUNKPORT,ME,427
PARSONSFIELD,ME,428
LIMERICK,ME,60
LIMINGTON,ME,897
LONG ISLAND,ME,964
LOVELL,ME,379
MOODY,ME,12
NAPLES,ME,524
NEWFIELD,ME,665
NORTH BRIDGTON,ME,111
NORTH WATERBORO,ME,18
WINDHAM,ME,1575
OCEAN PARK,ME,651
OLD ORCHARD BEACH,ME,973
ORRS ISLAND,ME,32
PORTER,ME,457
POWNAL,ME,220
SCARBOROUGH,ME,1172
RAYMOND,ME,54
SACO,ME,948
SANFORD,ME,210
SHAPLEIGH,ME,845
SOUTH CASCO,ME,149
SOUTH FREEPORT,ME,403
HARPSWELL,ME,274
SOUTH WINDHAM,ME,119
SPRINGVALE,ME,83
STANDISH,ME,1493
STEEP FALLS,ME,89
TOPSHAM,ME,150
WATERBORO,ME,1167
WATERFORD,ME,265
WELLS,ME,1480
WEST BALDWIN,ME,520
